col_id	uuid	name	sex	det	fam	ord	rank
JPL_A143	TSZ-JPL-d604cf6a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051d03-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f60b-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604cf70-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604cf6b-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051d01-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f60c-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604a829-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d6051cfa-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604cf6c-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604f611-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A143	TSZ-JPL-d604a82a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A148	TSZ-JPL-059c8a9d-e86a-11e9-bd83-837d04907aca	empty					other
JPL_A148	TSZ-JPL-059d26c5-e86a-11e9-bd83-837d04907aca	empty					other
JPL_A148	TSZ-JPL-059d26c6-e86a-11e9-bd83-837d04907aca	empty					other
JPL_A149	TSZ-JPL-d600653f-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A149	TSZ-JPL-d6006540-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A149	TSZ-JPL-d6006541-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A149	TSZ-JPL-d600653e-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b322-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d6010110-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c32-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c36-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6006547-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c38-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b324-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b323-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da27-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da25-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d6010112-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d6010111-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d6008c3a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A147	TSZ-JPL-d6056ae8-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b32a-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A144	TSZ-JPL-d600b326-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da28-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da23-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da24-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da22-e3a2-11e9-8e02-03ce3011d93e	empty					other
JPL_A150	TSZ-JPL-d600da21-e3a2-11e9-8e02-03ce3011d93e	empty					other
